name,date,open,high,low,close,volume,trades,value,change,previous_close,main_sector,sub_sector,change_pct
ABBEYBDS,2025-12-23,5.85,0.0,0.0,0.0,190953,23,1161791.3,0.0,5.85,PLC,FINANCIAL SERVICES- Micro-Finance Banks,-100.0
ABCTRANS,2025-12-23,3.15,0.0,0.0,0.0,383358,92,1311877.27,0.0,3.15,SERVICES,SERVICES- Road Transportation,-100.0
ACADEMY,2025-12-23,7.3,0.0,0.0,0.0,119850,30,893294.5,0.0,7.3,SERVICES,SERVICES- Printing/Publishing,-100.0
ACCESSCORP,2025-12-23,20.5,20.8,20.45,20.7,46240614,1444,949380834.45,0.2,20.5,FINANCIAL SERVICES,FINANCIAL SERVICES- Banking,0.98
AFRINSURE [MRF],2025-12-23,0.2,0.0,0.0,0.0,0,0,0.0,0.0,0.2,PLC,FINANCIAL SERVICES- Banking,-100.0
AFRIPRUD,2025-12-23,13.6,13.5,13.5,13.5,763070,94,10428543.25,-0.1,13.6,FINANCIAL SERVICES,FINANCIAL SERVICES- Other Financial Institutions,-0.74
AFROMEDIA [MRF],2025-12-23,0.24,0.0,0.0,0.0,0,0,0.0,0.0,0.24,SERVICES,SERVICES- Advertising,-100.0
AIICO,2025-12-23,3.93,3.96,3.9,3.93,6298490,297,24710883.41,0.0,3.93,PLC,FINANCIAL SERVICES- Banking,0.0
AIRTELAFRI,2025-12-23,2270.0,0.0,0.0,0.0,1989,4,4966533.0,0.0,2270.0,ICT,ICT- Telecommunications Services,-100.0
ALEX [BLS],2025-12-23,14.9,14.9,14.9,14.9,2724105,278,40491543.55,1.35,13.55,PLC,NATURAL RESOURCES- Metals,9.96
ARADEL,2025-12-23,679.9,0.0,0.0,0.0,1866318,710,1251833534.2,0.0,679.9,OIL AND GAS,OIL AND GAS- Integrated Oil and Gas Services,-100.0
ASOSAVINGS [DWL],2025-12-23,3.21,0.0,0.0,0.0,0,0,0.0,0.0,3.21,PLC,FINANCIAL SERVICES- Micro-Finance Banks,-100.0
AUSTINLAZ [RST],2025-12-23,2.65,2.91,2.91,2.91,3786068,93,10980545.17,0.26,2.65,INDUSTRIAL GOODS,INDUSTRIAL GOODS- Electronic and Electrical Products,9.81
AVAIF,2025-12-23,1000000.0,0.0,0.0,0.0,0,0,0.0,0.0,1000000.0,,,-100.0
BAPLC,2025-12-23,6.25,0.0,0.0,0.0,0,0,0.0,0.0,6.25,ICT,ICT- Telecommunications Services,-100.0
BERGER,2025-12-23,43.95,0.0,0.0,0.0,29187,64,1213199.15,0.0,43.95,INDUSTRIAL GOODS,INDUSTRIAL GOODS- Building Materials,-100.0
BETAGLAS,2025-12-23,370.0,0.0,0.0,0.0,569849,410,190072607.1,0.0,370.0,INDUSTRIAL GOODS,INDUSTRIAL GOODS- Packaging/Containers,-100.0
BUACEMENT,2025-12-23,174.0,0.0,0.0,0.0,589213,661,99459094.2,0.0,174.0,INDUSTRIAL GOODS,INDUSTRIAL GOODS- Building Materials,-100.0
BUAFOODS,2025-12-23,734.2,748.0,748.0,748.0,151719,557,112914205.7,13.8,734.2,CONSUMER GOODS,CONSUMER GOODS- Food Products,1.88
CADBURY,2025-12-23,59.6,0.0,0.0,0.0,1516427,235,86889596.5,0.0,59.6,CONSUMER GOODS,CONSUMER GOODS- Food Products--Diversified,-100.0
CAP,2025-12-23,74.0,0.0,0.0,0.0,14920,29,1042170.1,0.0,74.0,INDUSTRIAL GOODS,INDUSTRIAL GOODS- Building Materials,-100.0
CAVERTON,2025-12-23,5.3,0.0,0.0,0.0,356138,74,1919104.15,0.0,5.3,SERVICES,SERVICES- Support and Logistics,-100.0
CHAMPION [BLS],2025-12-23,16.75,0.0,0.0,0.0,753209,113,12100078.95,0.0,16.75,CONSUMER GOODS,CONSUMER GOODS- Beverages--Brewers/Distillers,-100.0
CHAMS,2025-12-23,3.51,3.51,3.16,3.16,23981525,407,77708405.43,-0.35,3.51,ICT,ICT- Processing Systems,-9.97
CHELLARAM,2025-12-23,13.2,0.0,0.0,0.0,8121,7,106905.5,0.0,13.2,CONGLOMERATES,CONGLOMERATES- Diversified Industries,-100.0
CILEASING,2025-12-23,6.2,0.0,0.0,0.0,81742,32,499463.0,0.0,6.2,SERVICES,SERVICES- Support and Logistics,-100.0
CNIF,2025-12-23,100.0,0.0,0.0,0.0,129,3,14190.0,0.0,100.0,,,-100.0
CONHALLPLC,2025-12-23,4.22,4.2,4.2,4.2,355884,31,1498436.4,-0.02,4.22,PLC,FINANCIAL SERVICES- Banking,-0.47
CONOIL,2025-12-23,187.2,0.0,0.0,0.0,12175,44,2051512.7,0.0,187.2,OIL AND GAS,OIL AND GAS- Petroleum and Petroleum Products Distributors,-100.0
CORNERST,2025-12-23,5.79,0.0,0.0,0.0,234190,38,1302466.62,0.0,5.79,PLC,FINANCIAL SERVICES- Banking,-100.0
CUSTODIAN,2025-12-23,35.1,0.0,0.0,0.0,111379,94,4277805.95,0.0,35.1,CONGLOMERATES,CONGLOMERATES- Diversified Industries,-100.0
CUTIX,2025-12-23,3.0,3.0,2.97,2.98,4143316,224,12374609.06,-0.02,3.0,INDUSTRIAL GOODS,INDUSTRIAL GOODS- Electronic and Electrical Products,-0.67
CWG,2025-12-23,18.8,0.0,0.0,0.0,242702,92,4333918.15,0.0,18.8,ICT,ICT- IT Services,-100.0
DAARCOMM,2025-12-23,0.94,0.9,0.9,0.9,606296,65,551106.09,-0.04,0.94,SERVICES,SERVICES- Media/Entertainment,-4.26
DANGCEM,2025-12-23,610.0,0.0,0.0,0.0,321474,747,195139552.7,0.0,610.0,INDUSTRIAL GOODS,INDUSTRIAL GOODS- Building Materials,-100.0
DANGSUGAR,2025-12-23,60.0,59.5,59.2,59.5,1046427,758,62101785.15,-0.5,60.0,CONSUMER GOODS,CONSUMER GOODS- Food Products,-0.83
DEAPCAP [DWL],2025-12-23,1.7,1.6,1.58,1.6,926201,34,1486535.75,-0.1,1.7,INDUSTRIAL GOODS,INDUSTRIAL GOODS- Building Materials,-5.88
DUNLOP [DIP],2025-12-23,0.2,0.0,0.0,0.0,0,0,0.0,0.0,0.2,CONSUMER GOODS,CONSUMER GOODS- Automobiles/Auto Parts,-100.0
EKOCORP [DIP],2025-12-23,5.8,0.0,0.0,0.0,0,0,0.0,0.0,5.8,HEALTHCARE,HEALTHCARE- Healthcare Providers,-100.0
ELLAHLAKES,2025-12-23,13.05,13.5,13.2,13.3,9513309,530,127079614.7,0.25,13.05,AGRICULTURE,AGRICULTURE- Crop Production,1.92
ENAMELWA,2025-12-23,40.5,0.0,0.0,0.0,0,0,0.0,0.0,40.5,CONSUMER GOODS,CONSUMER GOODS- Household Durables,-100.0
ETERNA,2025-12-23,28.5,0.0,0.0,0.0,328845,76,9536847.55,0.0,28.5,OIL AND GAS,OIL AND GAS- Petroleum and Petroleum Products Distributors,-100.0
ETI,2025-12-23,38.0,0.0,0.0,0.0,193010,91,7314689.65,0.0,38.0,FINANCIAL SERVICES,FINANCIAL SERVICES- Banking,-100.0
ETRANZACT,2025-12-23,12.6,0.0,0.0,0.0,335484,52,4119157.3,0.0,12.6,ICT,ICT- Processing Systems,-100.0
EUNISELL,2025-12-23,80.0,87.8,80.0,80.0,1042072,80,86257382.75,0.0,80.0,SERVICES,SERVICES- Specialty,0.0
FCMB,2025-12-23,10.55,10.6,10.55,10.6,4358103,331,46008851.5,0.05,10.55,FINANCIAL SERVICES,FINANCIAL SERVICES- Other Financial Institutions,0.47
FIDELITYBK,2025-12-23,19.05,19.15,19.0,19.0,20896135,465,397510870.15,-0.05,19.05,INCORPORATED,FINANCIAL SERVICES- Banking,-0.26
FIDSON,2025-12-23,43.0,43.9,43.9,43.9,655631,277,27909252.1,0.9,43.0,HEALTHCARE,HEALTHCARE- Pharmaceuticals,2.09
FIRSTHOLDCO,2025-12-23,45.0,50.35,45.0,50.25,44535718,1150,2182718226.0,4.25,46.0,FINANCIAL SERVICES,FINANCIAL SERVICES- Banking,9.24
FTGINSURE,2025-12-23,0.2,0.0,0.0,0.0,0,0,0.0,0.0,0.2,,,-100.0
FTNCOCOA [RST],2025-12-23,4.69,5.11,4.7,5.11,2161144,154,10729000.09,0.42,4.69,AGRICULTURE,AGRICULTURE- Crop Production,8.96
GEREGU,2025-12-23,1141.5,0.0,0.0,0.0,3547,65,3644187.8,0.0,1141.5,UTILITIES,UTILITIES- Electric Power Generation,-100.0
GOLDBREW,2025-12-23,7.1,0.0,0.0,0.0,0,0,0.0,0.0,7.1,CONSUMER GOODS,CONSUMER GOODS- Beverages--Brewers/Distillers,-100.0
GTCO,2025-12-23,88.1,88.3,88.0,88.0,43311444,1326,3817848830.15,-0.1,88.1,INCORPORATED,FINANCIAL SERVICES- Banking,-0.11
GUINEAINS,2025-12-23,1.13,1.2,1.13,1.15,2203130,77,2530363.99,0.02,1.13,PLC,FINANCIAL SERVICES- Banking,1.77
GUINNESS,2025-12-23,289.7,0.0,0.0,0.0,345956,55,110221581.6,0.0,289.7,CONSUMER GOODS,CONSUMER GOODS- Beverages--Brewers/Distillers,-100.0
HMCALL,2025-12-23,3.99,0.0,0.0,0.0,90698,16,362564.9,0.0,3.99,FUND,CONSTRUCTION/REAL ESTATE- Real Estate Development,-100.0
