name,date,open,high,low,close,volume,trades,value,change,previous_close,main_sector,sub_sector,change_pct
ABBEYBDS,2025-12-22,5.85,0.0,0.0,0.0,98373,71,605846.3,0.0,5.85,PLC,FINANCIAL SERVICES- Micro-Finance Banks,-100.0
ABCTRANS,2025-12-22,3.5,3.51,3.15,3.15,1280694,157,4366493.05,-0.35,3.5,SERVICES,SERVICES- Road Transportation,-10.0
ACADEMY,2025-12-22,7.35,7.3,7.3,7.3,498699,42,3645286.2,-0.05,7.35,SERVICES,SERVICES- Printing/Publishing,-0.68
ACCESSCORP,2025-12-22,20.5,20.95,20.5,20.5,22870554,1438,470987819.55,0.0,20.5,FINANCIAL SERVICES,FINANCIAL SERVICES- Banking,0.0
AFRINSURE [MRF],2025-12-22,0.2,0.0,0.0,0.0,0,0,0.0,0.0,0.2,PLC,FINANCIAL SERVICES- Banking,-100.0
AFRIPRUD,2025-12-22,13.6,0.0,0.0,0.0,851208,123,11843590.1,0.0,13.6,FINANCIAL SERVICES,FINANCIAL SERVICES- Other Financial Institutions,-100.0
AFROMEDIA [MRF],2025-12-22,0.24,0.0,0.0,0.0,0,0,0.0,0.0,0.24,SERVICES,SERVICES- Advertising,-100.0
AIICO,2025-12-22,3.9,3.97,3.7,3.92,11202634,471,43672166.25,0.02,3.9,PLC,FINANCIAL SERVICES- Banking,0.51
AIRTELAFRI,2025-12-22,2270.0,0.0,0.0,0.0,120,4,299640.0,0.0,2270.0,ICT,ICT- Telecommunications Services,-100.0
ALEX [BLS],2025-12-22,12.35,13.55,13.55,13.55,3276754,113,44377927.3,1.2,12.35,PLC,NATURAL RESOURCES- Metals,9.72
ARADEL,2025-12-22,679.9,0.0,0.0,0.0,1920629,775,1300464130.2,0.0,679.9,OIL AND GAS,OIL AND GAS- Integrated Oil and Gas Services,-100.0
ASOSAVINGS [DWL],2025-12-22,3.21,0.0,0.0,0.0,0,0,0.0,0.0,3.21,PLC,FINANCIAL SERVICES- Micro-Finance Banks,-100.0
AUSTINLAZ [RST],2025-12-22,2.42,2.66,2.65,2.65,3072001,109,8160346.85,0.23,2.42,INDUSTRIAL GOODS,INDUSTRIAL GOODS- Electronic and Electrical Products,9.5
AVAIF,2025-12-22,1000000.0,0.0,0.0,0.0,0,0,0.0,0.0,1000000.0,,,-100.0
BAPLC,2025-12-22,6.25,0.0,0.0,0.0,0,0,0.0,0.0,6.25,ICT,ICT- Telecommunications Services,-100.0
BERGER,2025-12-22,42.0,43.95,43.95,43.95,423960,113,18278678.0,1.95,42.0,INDUSTRIAL GOODS,INDUSTRIAL GOODS- Building Materials,4.64
BETAGLAS,2025-12-22,370.0,0.0,0.0,0.0,72040,384,23990658.0,0.0,370.0,INDUSTRIAL GOODS,INDUSTRIAL GOODS- Packaging/Containers,-100.0
BUACEMENT,2025-12-22,170.0,174.0,174.0,174.0,482239,851,83160044.3,4.0,170.0,INDUSTRIAL GOODS,INDUSTRIAL GOODS- Building Materials,2.35
BUAFOODS,2025-12-22,734.2,0.0,0.0,0.0,52787,750,38205654.0,0.0,734.2,CONSUMER GOODS,CONSUMER GOODS- Food Products,-100.0
CADBURY,2025-12-22,59.6,0.0,0.0,0.0,371496,249,21321432.35,0.0,59.6,CONSUMER GOODS,CONSUMER GOODS- Food Products--Diversified,-100.0
CAP,2025-12-22,74.0,0.0,0.0,0.0,44979,29,3152922.4,0.0,74.0,INDUSTRIAL GOODS,INDUSTRIAL GOODS- Building Materials,-100.0
CAVERTON,2025-12-22,5.35,5.3,5.3,5.3,1005737,82,5433533.25,-0.05,5.35,SERVICES,SERVICES- Support and Logistics,-0.93
CHAMPION [BLS],2025-12-22,16.95,16.35,15.5,16.35,1601559,212,25857884.0,-0.6,16.95,CONSUMER GOODS,CONSUMER GOODS- Beverages--Brewers/Distillers,-3.54
CHAMS,2025-12-22,3.28,3.28,3.05,3.05,9730612,348,30605917.75,-0.23,3.28,ICT,ICT- Processing Systems,-7.01
CHELLARAM,2025-12-22,13.2,0.0,0.0,0.0,20136,15,284432.0,0.0,13.2,CONGLOMERATES,CONGLOMERATES- Diversified Industries,-100.0
CILEASING,2025-12-22,6.1,6.2,6.2,6.2,639211,50,3898597.0,0.1,6.1,SERVICES,SERVICES- Support and Logistics,1.64
